Label,Value
Condition,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read more
about the condition"
Processor,Intel Celeron N
Graphics Processing Type,Integrated/On-Board Graphics
MPN,NXGM9AA003
SSD Capacity,32 GB
Most Suitable For,Casual Computing
GPU,Intel HD Graphics 400
Manufacturer Warranty,1 Year
Item Height,0.9 in
Operating System,Chrome OS
Features,Touchscreen
Hard Drive Capacity,32 GB
Item Width,11.7 in
Screen Size,11.6 in
RAM Size,32 GB
Color,Gray
Processor Speed,2.48 GHz
Brand,Acer
Series,Acer ChromeBook
Type,Notebook/Laptop
Maximum Resolution,1366 x 768
Model,C731T-C0X8
Connectivity,SD Card Slot
Storage Type,eMMC
Item Weight,2.98 lbs.
UPC,0841631124730
